spine_index,image_path,title,author,confidence,raw_response
0,outputs/detections/D1BF3F73-A06F-4EF0-A456-B95E30CD737A_1_105_c_crops/spine_00.jpg,[Extraction Failed],,0.0000,
1,outputs/detections/D1BF3F73-A06F-4EF0-A456-B95E30CD737A_1_105_c_crops/spine_01.jpg,[Extraction Failed],,0.0000,
2,outputs/detections/D1BF3F73-A06F-4EF0-A456-B95E30CD737A_1_105_c_crops/spine_02.jpg,[Extraction Failed],,0.0000,
3,outputs/detections/D1BF3F73-A06F-4EF0-A456-B95E30CD737A_1_105_c_crops/spine_03.jpg,[Extraction Failed],,0.0000,
4,outputs/detections/D1BF3F73-A06F-4EF0-A456-B95E30CD737A_1_105_c_crops/spine_04.jpg,[Extraction Failed],,0.0000,
5,outputs/detections/D1BF3F73-A06F-4EF0-A456-B95E30CD737A_1_105_c_crops/spine_05.jpg,[Extraction Failed],,0.0000,
6,outputs/detections/D1BF3F73-A06F-4EF0-A456-B95E30CD737A_1_105_c_crops/spine_06.jpg,[Extraction Failed],,0.0000,
7,outputs/detections/D1BF3F73-A06F-4EF0-A456-B95E30CD737A_1_105_c_crops/spine_07.jpg,[Extraction Failed],,0.0000,
8,outputs/detections/D1BF3F73-A06F-4EF0-A456-B95E30CD737A_1_105_c_crops/spine_08.jpg,[Extraction Failed],,0.0000,
9,outputs/detections/D1BF3F73-A06F-4EF0-A456-B95E30CD737A_1_105_c_crops/spine_09.jpg,[Extraction Failed],,0.0000,
10,outputs/detections/D1BF3F73-A06F-4EF0-A456-B95E30CD737A_1_105_c_crops/spine_10.jpg,[Extraction Failed],,0.0000,
11,outputs/detections/D1BF3F73-A06F-4EF0-A456-B95E30CD737A_1_105_c_crops/spine_11.jpg,[Extraction Failed],,0.0000,
12,outputs/detections/D1BF3F73-A06F-4EF0-A456-B95E30CD737A_1_105_c_crops/spine_12.jpg,[Extraction Failed],,0.0000,
13,outputs/detections/D1BF3F73-A06F-4EF0-A456-B95E30CD737A_1_105_c_crops/spine_13.jpg,[Extraction Failed],,0.0000,
